requirementId,area,title,source,section,risk,owner,testInstances,testLevels,automation,evidence
QA-REQ-A-001,A,Thư viện và vòng đời dự án,Design/ProductPRD.md,Multi-project library,high,QA/Project owner,A01@ENV-D1;A01@ENV-D2;A02@ENV-D1;A02@ENV-D2;A02@ENV-A11Y;A02@ENV-M1;A03@ENV-D1;A03@ENV-D2;A04@ENV-D1;A05@ENV-D1;A06@ENV-D1;A07@ENV-D1;A08@ENV-D1;A08@ENV-D2;A09@ENV-D1;A10@ENV-D1;A11@ENV-D1;A11@ENV-D2,e2e;integration;unit;component,playwright:e2e/project-library.spec.ts;npm:test:subsystems;npm:test:coverage;npm:test:e2e,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url;playwright-report;trace
QA-REQ-B-001,B,"Template, metadata và AI",Design/ProductPRD.md,Template Catalog và AI workflow,medium,QA/Project owner,B01@ENV-D1;B01@ENV-D2;B02[software-project]@ENV-D1;B02[lab-report]@ENV-D1;B02[internship-report]@ENV-D1;B02[readme-report]@ENV-D1;B03[software-project]@ENV-D1;B03[software-project]@ENV-D2;B03[lab-report]@ENV-D1;B03[lab-report]@ENV-D2;B03[internship-report]@ENV-D1;B03[internship-report]@ENV-D2;B03[readme-report]@ENV-D1;B03[readme-report]@ENV-D2;B04@ENV-D1;B04@ENV-D2;B05@ENV-D1;B06@ENV-D1;B06@ENV-D2;B07@ENV-D1;B07@ENV-D2;B08@ENV-D1;B08@ENV-D2;B09@ENV-D1;B10@ENV-D1;B11@ENV-D1;B12@ENV-D1;B12@ENV-D2;B13@ENV-D1,e2e;component;integration;security;manual;performance;unit,playwright:e2e/templates-and-offline.spec.ts;npm:test:subsystems;npm:test:coverage;npm:test:e2e,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url;playwright-report;trace
QA-REQ-C-001,C,Soạn thảo và asset,Design/Modules/1.Write.md,"Editor, autosave và asset",high,QA/Project owner,C01@ENV-D1;C01@ENV-D2;C02@ENV-D1;C02@ENV-D2;C02@ENV-A11Y;C02@ENV-M1;C03@ENV-D1;C03@ENV-D2;C04@ENV-D1;C04@ENV-D2;C05@ENV-D1;C05@ENV-D2;C06@ENV-D1;C07@ENV-D1;C08@ENV-D1;C08@ENV-D2;C08@ENV-M1;C09@ENV-D1;C10@ENV-D1;C11@ENV-D1;C12@ENV-D1;C13@ENV-D1;C13@ENV-D2;C14@ENV-D1;C14@ENV-D2;C15@ENV-D1;C15@ENV-D2;C16@ENV-D1;C17@ENV-D1;C18@ENV-D1,e2e;component;integration;performance;unit,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-D-001,D,Định dạng và Preview,Design/Modules/2.Format.md,Format và deterministic preview,medium,QA/Project owner,D01@ENV-D1;D01@ENV-D2;D02@ENV-D1;D02@ENV-D2;D03@ENV-D1;D03@ENV-D2;D04@ENV-D1;D04@ENV-D2;D05@ENV-D1;D05@ENV-D2;D06@ENV-D1;D06@ENV-D2;D07@ENV-D1;D08@ENV-D1;D09@ENV-D1;D09@ENV-D2;D10@ENV-D1,e2e;component;integration;manual;unit,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-E-001,E,Checker và Readiness,Design/Modules/3.Check.md,"Rules, severity và readiness",medium,QA/Project owner,E01@ENV-D1;E01@ENV-D2;E01@ENV-A11Y;E02@ENV-D1;E02@ENV-D2;E03@ENV-D1;E04@ENV-D1;E05@ENV-D1;E06@ENV-D1;E07@ENV-D1;E08@ENV-D1;E08@ENV-D2;E09@ENV-D1;E10@ENV-D1;E11@ENV-D1,integration;e2e;manual;unit;component,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-F-001,F,Import và OCR,Design/Modules/6.Import.md,"Converters, review, OCR và limits",high,QA/Project owner,F01@ENV-D1;F01@ENV-D2;F02@ENV-D1;F02@ENV-D2;F03@ENV-D1;F03@ENV-D2;F04[FX-XLSX-01]@ENV-D1;F04[FX-XLSX-02]@ENV-D1;F05[FX-PPTX-01]@ENV-D1;F05[FX-PPTX-02]@ENV-D1;F06@ENV-D1;F06@ENV-D2;F07@ENV-D1;F07@ENV-D2;F08@ENV-D1;F08@ENV-D2;F09@ENV-D1;F10@ENV-D1;F11@ENV-D1;F12[FX-IMP-05]@ENV-D1;F12[FX-IMP-04]@ENV-D1;F13[FX-IMP-01]@ENV-D1;F13[FX-IMP-02]@ENV-D1;F13[FX-IMP-03]@ENV-D1;F14@ENV-D1;F15@ENV-D1;F16@ENV-D1;F17@ENV-D1,integration;e2e;unit;component,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-G-001,G,Evidence Kit,Design/Modules/Support.Evidence.md,"Evidence registry, QR và appendix",medium,QA/Project owner,G01[video]@ENV-D1;G01[video]@ENV-D2;G01[github]@ENV-D1;G01[github]@ENV-D2;G01[deploy]@ENV-D1;G01[deploy]@ENV-D2;G01[drive]@ENV-D1;G01[drive]@ENV-D2;G01[figma]@ENV-D1;G01[figma]@ENV-D2;G01[account]@ENV-D1;G01[account]@ENV-D2;G01[api-docs]@ENV-D1;G01[api-docs]@ENV-D2;G01[slide]@ENV-D1;G01[slide]@ENV-D2;G01[other]@ENV-D1;G01[other]@ENV-D2;G02@ENV-D1;G03@ENV-D1;G03@ENV-D2;G03@ENV-A11Y;G03@ENV-M1;G04@ENV-D1;G04@ENV-D2;G05@ENV-D1;G06@ENV-D1;G07@ENV-D1;G08@ENV-D1,e2e;integration;security;unit;component,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-H-001,H,Export HTML/PDF/DOCX,Design/Modules/4.Export.md,Export gates và artifact verification,high,QA/Project owner,H01@ENV-D1;H01@ENV-D2;H01@ENV-A11Y;H01@ENV-M1;H01@ENV-R1;H02@ENV-D1;H02@ENV-D2;H03@ENV-D1;H03@ENV-D2;H04@ENV-D1;H04@ENV-D2;H05[html]@ENV-D1;H05[html]@ENV-D2;H05[pdf]@ENV-D1;H05[pdf]@ENV-D2;H05[docx]@ENV-D1;H05[docx]@ENV-D2;H06[html]@ENV-D1;H06[pdf]@ENV-D1;H06[docx]@ENV-D1;H07@ENV-D1;H08@ENV-D1;H08@ENV-D2;H09@ENV-D1;H10[html]@ENV-D1;H10[pdf]@ENV-D1;H10[docx]@ENV-D1;H11@ENV-D1;H12@ENV-D1;H12@ENV-D2;H13@ENV-D1;H14@ENV-D1,integration;e2e;manual;security;performance;unit;component,npm:test:subsystems;npm:test:coverage;npm:test:pdf-unit;npm:test:pdf-integration,screenshot;console-network-log;artifact-sha256-open-parse;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url;security-summary;integration-log;pdf-artifact;artifact-hash
QA-REQ-I-001,I,Nộp bài,Design/ProductPRD.md,Submission package,high,QA/Project owner,I01@ENV-D1;I01@ENV-D2;I01@ENV-A11Y;I01@ENV-M1;I01@ENV-R1;I02@ENV-D1;I03@ENV-D1;I04@ENV-D1;I04@ENV-D2;I05@ENV-D1;I05@ENV-D2;I06@ENV-D1;I06@ENV-D2;I07@ENV-D1;I07@ENV-D2;I08@ENV-D1;I09@ENV-D1;I10@ENV-D1,e2e;integration;security;unit;component,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;artifact-sha256-open-parse;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
QA-REQ-J-001,J,Thuyết trình,Design/Modules/5.Present.md,"Present, defense và PPTX",medium,QA/Project owner,J01@ENV-D1;J01@ENV-D2;J01@ENV-A11Y;J01@ENV-M1;J01@ENV-R1;J02@ENV-D1;J02@ENV-D2;J03@ENV-D1;J04@ENV-D1;J05@ENV-D1;J06@ENV-D1;J07@ENV-D1;J08@ENV-D1;J08@ENV-D2;J09@ENV-D1;J09@ENV-D2;J10@ENV-D1,e2e;component;manual;unit;integration,npm:test:subsystems;npm:test:coverage,screenshot;console-network-log;artifact-sha256-open-parse;actual-result;test-log;junit-or-console-summary;coverage-report;ci-run-url
